hhid,def_kcal_ae_hh,micro_req_count,micro_rec_count,micro_req_count_pct,micro_rec_count_pct
2081111300,1,1,0,0.0833333333333,0.0
2081111301,1,6,3,0.5,0.25
2081111302,1,0,0,0.0,0.0
2081111305,0,6,5,0.5,0.416666666667
2081111306,1,5,4,0.416666666667,0.333333333333
2081111371,1,0,0,0.0,0.0
2081111373,1,1,1,0.0833333333333,0.0833333333333
2081111401,1,1,0,0.0833333333333,0.0
2081111403,1,3,1,0.25,0.0833333333333
2081111449,1,1,0,0.0833333333333,0.0
2081111450,0,6,5,0.5,0.416666666667
2081111451,1,10,7,0.833333333333,0.583333333333
2081111452,1,4,3,0.333333333333,0.25
2081111453,1,5,4,0.416666666667,0.333333333333
2081111454,1,4,2,0.333333333333,0.166666666667
2081111455,1,0,0,0.0,0.0
2081111456,0,10,7,0.833333333333,0.583333333333
2081111457,1,0,0,0.0,0.0
2081111458,1,1,0,0.0833333333333,0.0
2081111460,1,0,0,0.0,0.0
2081111461,0,6,4,0.5,0.333333333333
2081111462,1,3,3,0.25,0.25
2081111463,1,5,3,0.416666666667,0.25
2081111464,1,1,1,0.0833333333333,0.0833333333333
2081111465,1,1,0,0.0833333333333,0.0
2081111466,1,2,1,0.166666666667,0.0833333333333
2081111467,1,2,0,0.166666666667,0.0
2081111468,1,3,3,0.25,0.25
2081111469,0,7,7,0.583333333333,0.583333333333
2081111470,1,1,1,0.0833333333333,0.0833333333333
2081111472,1,0,0,0.0,0.0
2081112300,1,7,5,0.583333333333,0.416666666667
2081112301,0,6,5,0.5,0.416666666667
2081112302,1,0,0,0.0,0.0
2081112303,1,5,4,0.416666666667,0.333333333333
2081112304,1,7,6,0.583333333333,0.5
2081112305,0,11,8,0.916666666667,0.666666666667
2081112318,1,3,1,0.25,0.0833333333333
2081112400,1,1,1,0.0833333333333,0.0833333333333
2081112402,1,0,0,0.0,0.0
2081112403,0,10,9,0.833333333333,0.75
2081112404,0,6,4,0.5,0.333333333333
2081112405,1,0,0,0.0,0.0
2081112406,0,2,1,0.166666666667,0.0833333333333
2081112407,1,3,1,0.25,0.0833333333333
2081112408,1,6,3,0.5,0.25
2081112409,1,2,1,0.166666666667,0.0833333333333
2081112410,1,1,1,0.0833333333333,0.0833333333333
2081112411,0,11,10,0.916666666667,0.833333333333
2081112412,0,5,4,0.416666666667,0.333333333333
2081112413,0,10,8,0.833333333333,0.666666666667
2081112414,1,6,6,0.5,0.5
2081112415,0,8,5,0.666666666667,0.416666666667
2081112416,1,2,1,0.166666666667,0.0833333333333
2081112417,1,5,5,0.416666666667,0.416666666667
2081112419,1,5,3,0.416666666667,0.25
2081112421,1,9,7,0.75,0.583333333333
2081112422,1,1,1,0.0833333333333,0.0833333333333
2081112423,1,0,0,0.0,0.0
2081112424,1,7,5,0.583333333333,0.416666666667
2081112425,1,3,3,0.25,0.25
2081112426,1,2,1,0.166666666667,0.0833333333333
2081112427,0,10,10,0.833333333333,0.833333333333
2081112428,0,5,3,0.416666666667,0.25
2081112429,1,0,0,0.0,0.0
2081112430,0,4,3,0.333333333333,0.25
2081112431,1,2,1,0.166666666667,0.0833333333333
2081113300,0,11,10,0.916666666667,0.833333333333
2081113302,0,9,7,0.75,0.583333333333
2081113303,1,0,0,0.0,0.0
2081113304,0,5,4,0.416666666667,0.333333333333
2081113305,0,5,1,0.416666666667,0.0833333333333
2081113334,1,5,4,0.416666666667,0.333333333333
2081113395,1,2,1,0.166666666667,0.0833333333333
2081113402,1,4,3,0.333333333333,0.25
2081113432,0,8,7,0.666666666667,0.583333333333
2081113433,1,7,5,0.583333333333,0.416666666667
2081113435,1,4,4,0.333333333333,0.333333333333
2081113436,0,11,9,0.916666666667,0.75
2081113437,1,7,4,0.583333333333,0.333333333333
2081113438,1,7,4,0.583333333333,0.333333333333
2081113439,0,6,6,0.5,0.5
2081113440,0,6,5,0.5,0.416666666667
2081113441,1,0,0,0.0,0.0
2081113442,1,0,0,0.0,0.0
2081113443,0,2,1,0.166666666667,0.0833333333333
2081113444,0,9,9,0.75,0.75
2081113445,1,3,3,0.25,0.25
2081113446,1,1,1,0.0833333333333,0.0833333333333
2081113447,0,10,8,0.833333333333,0.666666666667
2081113493,0,9,6,0.75,0.5
2081113494,1,10,9,0.833333333333,0.75
2081113496,1,0,0,0.0,0.0
2081113497,1,6,5,0.5,0.416666666667
2081113498,0,6,4,0.5,0.333333333333
2081113499,1,2,0,0.166666666667,0.0
