,bmiz06,whz06,waz06,haz06
hhid,-0.0272292448887,-0.0392264691346,0.0323169765603,0.0509155399037
land_size,-0.0230088044234,0.0452481461774,0.0560184696145,0.0559780961115
land_size_pc,-0.0489229907571,0.0227417128268,0.0901173406713,0.108881063083
cid,-0.0272294742443,-0.0392268437436,0.0323170533898,0.0509159739865
hh_weight,-0.0166302587637,-0.0469031978801,-0.0200823034041,0.00720042846143
hhsize,0.0944220324176,0.0622408279154,-0.0341869377283,-0.0971608382412
numadult,0.0370460985975,0.0250732824338,0.0366981552928,0.0113627308141
numchildren,0.0991501908613,0.0647757846466,-0.0734583234555,-0.139286133789
numwomen,0.0442563825753,-0.0200320379396,-0.0305026427706,-0.0413998824422
depend_ratio,0.0565938413824,0.0420152504704,-0.0310720917268,-0.0681317914966
hh_age,0.101209041429,0.0794846412491,0.0299781427304,-0.0430282434821
age_ave,0.0996614762138,0.0762176073693,0.028239376857,-0.0429406777975
edu,-0.0306576461444,0.0637000972222,0.142014629557,0.114784802778
educ_ave,-0.0726899096014,0.00428262284373,0.12249666158,0.143937878425
educ_max,-0.0618490657567,0.0292729424197,0.117733878349,0.125635003696
hh_edu,-0.0295472047632,0.0589135520302,0.131069921067,0.10546658401
hh_male_edu,-0.0567189513503,0.0425644810861,0.127587235492,0.118278613531
hh_fem_edu,0.0484419304119,0.0511548958921,0.0598527900328,0.0315549199084
outsidefood,-0.017177621466,-0.0291975643583,-0.0370072494921,-0.00979433395596
outside_eat,-0.0403634954248,-0.0358334078365,-0.0157965424914,0.0368918205332
outside_eat_m,0.0145104596259,0.0224291168353,0.00117075950253,-0.0131922965662
outsidefood_m,-0.00813482321361,-0.0318204119451,-0.0326779602743,-0.0133645341788
outside_eat_f,-0.0363968098976,-0.0725993962687,-0.0221883833633,0.0363026434926
outsidefood_f,0.202035032213,-0.0439108306078,-0.0280347276737,-0.166868729879
outside_eat_c,0.00132550400429,0.0223106445714,-0.0404619688581,-0.0441067022636
outsidefood_c,0.0420971651154,0.0855791679606,-0.0455114494007,-0.0935663870124
insidefoodyr,-0.000592127586013,0.0240101874647,0.109634770511,0.104189014828
shannon_exp,-0.00460082099032,0.0195131612235,0.0551337849545,0.0328717967327
simpson_exp,-0.0252810164174,0.0315562796804,0.0668684288864,0.0529988793431
sh_cereals_exp,0.0385022734735,-0.00678981042691,-0.0393834932962,-0.0454769519222
sh_roots_exp,-0.0292355660054,0.0118768917438,0.0168207411189,0.0271781253829
sh_veg_exp,-0.0162052760887,-0.0457765587558,-0.123250645376,-0.0899200849474
sh_fruits_exp,-0.050120912713,-0.00366809352297,0.0457057269819,0.0770259515385
sh_meat_exp,-0.05798383694,-0.0403011324032,-0.112202185575,-0.0705287228402
sh_eggs_exp,-0.0558508511831,-0.00415232334455,-0.00823453810987,0.0221052168201
sh_fish_exp,-0.0226484107246,0.0122777738443,-0.0509362176403,-0.0397513177367
sh_pulses_exp,-0.000371319968559,-0.0145832506698,-0.0451510374833,-0.0483021260391
sh_milk_exp,0.420114846329,0.235764355353,0.354716797501,-0.125767565114
sh_oil_exp,0.00420303066607,0.00641761089577,0.0109748238766,0.0184922926473
sh_sugar_exp,-0.0896138684501,-0.076846798176,-0.0050399286299,0.105123187041
sh_misc_exp,-0.028710819837,-0.0245679007189,-0.0104906362359,0.0110895147156
foodvalue_totalyr,-0.00059647158916,0.0240026042394,0.109624341565,0.104185484502
hhexpend,-0.000558063345385,0.0240470353741,0.109648577128,0.104162331118
wealth,0.0393982755366,0.0586061542532,0.10526445665,0.0395431744015
agwealth,0.0735758987338,0.0599440835552,0.0462850448413,-0.027946653386
nonagwealth,0.0168008697578,0.0469232244385,0.109055737477,0.0605672113252
purch_val,0.0648079386337,0.111124942894,0.0753878684758,-0.0302497944608
tot_kcal_cons,0.0249569221249,0.0514535694457,0.0538412681895,0.00906220584998
purch_kcal_cons,0.0244834105816,0.0529376910265,0.0254552038651,-0.0240284601927
own_kcal_cons,0.0903968981462,0.104229414196,0.096632032402,-0.00352404709463
gift_kcal_cons,-0.0145779548214,-0.0133903185143,0.0320747045741,0.0436177729162
tot_prot_cons,0.0116945605116,0.0218635970773,-0.00263677159941,-0.0191538188715
purch_prot_cons,0.00168528863024,0.0102085442388,-0.0215974770184,-0.026136022538
own_prot_cons,0.0883476349639,0.096665692372,0.0957535339505,-0.00305820399247
gift_prot_cons,-0.0129579503586,-0.00741854334212,0.0383313482165,0.0487836163441
tot_animal_prot_cons,0.00060332546003,0.010698392305,-0.0130635544372,-0.0166837507756
purch_animal_prot_cons,0.000594367402596,0.00998821300071,-0.0165709229469,-0.0199895219149
own_animal_prot_cons,0.0549681591953,0.0783901214265,0.119949406196,0.0419825473978
gift_animal_prot_cons,-0.0449805338339,-0.0343596998729,0.0387303072318,0.0944861585031
tot_mfp_prot_cons,-0.010994663225,-0.00882390491029,-0.0172435019056,-0.0038889097134
purch_mfp_prot_cons,-0.0110063680929,-0.00955159936095,-0.0207050110872,-0.00715236810084
own_mfp_prot_cons,0.0542583270097,0.0751759746385,0.115533316108,0.0399751059392
gift_mfp_prot_cons,-0.0451586364946,-0.0339169410478,0.0390158814286,0.0947299124109
tot_fat_cons,0.0274480203225,0.0418684143989,0.0204663154525,-0.0207475535003
purch_fat_cons,0.0171197975544,0.0310449169829,-0.00123529918169,-0.0288982145903
own_fat_cons,0.0662684038163,0.0516876551343,0.04389496265,-0.0301328170953
gift_fat_cons,-0.000772594555759,0.0116942160978,0.0418590337758,0.0359743854285
tot_chocdf_cons,0.0195373846949,0.043369818968,0.0544100953291,0.0171570471773
purch_chocdf_cons,0.0225057844247,0.0486201155936,0.031058605614,-0.0155539040506
own_chocdf_cons,0.088373991924,0.109726777933,0.102648882741,0.00525694912057
gift_chocdf_cons,-0.0261539587146,-0.0390066225141,0.0124636557086,0.0397004880055
tot_fasat_cons,0.0232518930118,0.0466184422806,0.0239816482791,-0.0167390885679
purch_fasat_cons,0.0197538544067,0.0414355852595,0.0131426656584,-0.0222071337234
own_fasat_cons,0.0862040232246,0.104058744105,0.0995631867574,-0.0131614619598
gift_fasat_cons,-0.0141365355287,-0.00420917680185,0.0444093026873,0.0524262663284
tot_fams_cons,0.0179042933941,0.0234099627423,0.00619183661572,-0.0189098274695
purch_fams_cons,0.00729023451522,0.0122176373347,-0.0163108956348,-0.0267652888559
own_fams_cons,0.0545392199834,0.0341344445171,0.0246243532386,-0.036182650694
gift_fams_cons,0.00095822081751,0.0136613168303,0.0408199166717,0.0333183444106
tot_fapu_cons,0.0498200694586,0.0524431171949,0.0503085041602,-0.0135239398929
purch_fapu_cons,0.0449840680334,0.0442996224746,-0.00745928398227,-0.0661298227667
own_fapu_cons,0.0695226279336,0.0559325639509,0.0453816534061,-0.0303233308922
gift_fapu_cons,0.000544868682364,0.0116211390781,0.0381472390769,0.0316777943348
tot_chole_cons,0.00434098234145,0.0152186564964,-0.0058440881206,-0.0145487659157
purch_chole_cons,0.00268577946329,0.014719468824,-0.0133513985176,-0.0213363671469
own_chole_cons,0.0295588819165,0.00262961195368,0.060689518625,0.0367989402981
gift_chole_cons,-0.020436705493,0.00820661036284,0.0421629157114,0.0712036455273
tot_fib_cons,0.0462277540008,0.0540407474733,0.0527401330011,-0.00358624663552
purch_fib_cons,-0.00238312213595,0.00402507643031,-0.0256834644694,-0.0288078375322
own_fib_cons,0.0838750679267,0.102269925994,0.103733599149,0.0111832462375
gift_fib_cons,-0.0128424643643,-0.0337491549328,0.0173327955613,0.030134303579
tot_sucs_cons,0.0129281705418,0.0365250979967,0.0520181952865,0.0211382596018
purch_sucs_cons,0.0243774161754,0.0511223574172,0.0402525568479,-0.00900475064588
own_sucs_cons,0.0451341772103,0.0550055460703,0.0258792409903,-0.0369232436547
gift_sucs_cons,-6.25524905717e-05,0.0128378668754,0.0420810468971,0.0353587494774
tot_phytac_cons,0.0618482281065,0.0609199792337,0.0394790235531,-0.0262477159518
purch_phytac_cons,0.00476297823168,-0.0109472123231,-0.0873431390004,-0.0842717282037
own_phytac_cons,0.0885364488048,0.0957486297283,0.0847823632686,-0.00996516345463
gift_phytac_cons,-0.00959609755515,-0.00675787632028,0.027388810527,0.0339555407327
tot_trp_cons,0.0156665509281,0.033681802704,-0.00134749531454,-0.027099001163
purch_trp_cons,0.0107004971974,0.0270405141046,-0.0140680451699,-0.0328392946836
own_trp_cons,0.0729946071132,0.082371095802,0.0802360857109,-0.00825335629723
gift_trp_cons,-0.0112726173793,-0.00191991230458,0.047610446264,0.0536376096059
tot_thr_cons,0.00916086287596,0.019614407344,-0.00490554892731,-0.0187901230608
purch_thr_cons,0.00265551196514,0.0118250985884,-0.018527430862,-0.0243336874815
own_thr_cons,0.0835406609281,0.089334024953,0.0913599017656,-0.00376094637855
gift_thr_cons,-0.0114545362317,-0.00365379474829,0.0425827143269,0.0510181605128
tot_ile_cons,0.0105834873718,0.0220641748011,-0.00393774993248,-0.0200659456273
purch_ile_cons,0.0040663562815,0.0141738585413,-0.0177602493808,-0.0257166200769
own_ile_cons,0.0835072893163,0.0906400341827,0.0925585435224,-0.00381131081152
gift_ile_cons,-0.0109955138945,-0.00327803179804,0.0439434976237,0.0520579199582
tot_leu_cons,0.012557049228,0.0229372579288,-0.00334009479657,-0.0205773920041
purch_leu_cons,0.00298163606545,0.0118707804662,-0.0214534193124,-0.027402854643
own_leu_cons,0.0872577831847,0.0969470746243,0.0992848778675,0.00216095919028
gift_leu_cons,-0.0150585770354,-0.011106897518,0.0381231290955,0.0511483399934
tot_lys_cons,0.000176565872344,0.00768718719705,-0.00939650029104,-0.0114944134921
purch_lys_cons,-0.0032081101924,0.00297382846444,-0.0183391116523,-0.0159876913465
own_lys_cons,0.084550783489,0.0967336727466,0.103478415585,0.00277844912055
gift_lys_cons,-0.0188851042114,-0.00829615990398,0.0477490297251,0.0653288823787
tot_met_cons,0.00645799323572,0.0166051113392,-0.00619559639226,-0.0166458486753
purch_met_cons,0.000908432142919,0.0099359729069,-0.0181950544637,-0.022009563133
own_met_cons,0.0877324244701,0.0985529452201,0.106296039846,0.00696568415679
gift_met_cons,-0.0201670901606,-0.0151346838062,0.0421707822129,0.0617635287888
tot_cys_cons,0.0089300116683,0.0141196154566,-0.00334568902947,-0.0150106677169
purch_cys_cons,-0.00310184174426,0.00052583261634,-0.0248007740919,-0.0216455478462
own_cys_cons,0.081290108128,0.0844238215991,0.0790202379818,-0.0124299775425
gift_cys_cons,-0.00661842814567,-0.000186649296625,0.0410044489083,0.0432632152569
tot_phe_cons,0.0143354903823,0.0263548094949,-0.00117540338293,-0.0217369604921
purch_phe_cons,0.00508155670493,0.0155014706393,-0.0186550136552,-0.0278358802919
own_phe_cons,0.0833412890942,0.0900591840954,0.0857114023136,-0.00876118662694
gift_phe_cons,-0.00984788691045,-0.00322573081524,0.0399682156674,0.0463194060548
tot_tyr_cons,0.0165914620712,0.0290123792195,-0.000584106725866,-0.0241456753937
purch_tyr_cons,0.00750004036332,0.0186379195461,-0.0184197325566,-0.0307980053833
own_tyr_cons,0.0811889377239,0.0821241973192,0.0805752249623,-0.0102831133007
gift_tyr_cons,-0.00724643251052,0.00134170228684,0.0406948673815,0.0439332391045
tot_val_cons,0.0188232376703,0.0277749085938,0.00425683567105,-0.0217145439222
purch_val_cons,0.00708011836736,0.0149232994005,-0.0192939275375,-0.0300102242177
own_val_cons,0.0679292425669,0.0574943155837,0.0510320526524,-0.025259490973
gift_val_cons,-0.000958231956493,0.00992292444767,0.0407457823351,0.0361793714217
tot_arg_cons,0.000916779552644,0.00785634259787,-0.00880859306372,-0.0109522225451
purch_arg_cons,-0.0051441406862,0.000130435274431,-0.021523399049,-0.016365875485
own_arg_cons,0.0866756807543,0.105730299124,0.108844308962,0.00920293970346
gift_arg_cons,-0.024990102766,-0.0241951858877,0.0389081125191,0.0644980743802
tot_his_cons,0.00657192685668,0.0136127945271,-0.00577063720816,-0.0152443324097
purch_his_cons,-0.00114645434292,0.00428079610506,-0.0216369563848,-0.0212356036345
